"Timestamp","StartedLevel","EndLevel","TimeRemainingOnEnd"
"2022/09/26 5:44:23 PM MDT","1","",""
"2022/09/26 5:44:38 PM MDT","","1",""
"2022/09/26 5:44:46 PM MDT","1","",""
"2022/09/26 5:45:12 PM MDT","1","",""
"2022/09/26 5:45:40 PM MDT","1","",""
"2022/09/26 5:45:58 PM MDT","","1",""
"2022/09/26 5:46:34 PM MDT","1","",""
"2022/09/26 5:46:44 PM MDT","","1",""
"2022/09/26 5:46:46 PM MDT","1","",""
"2022/09/26 5:47:09 PM MDT","","1",""
"2022/09/26 5:49:03 PM MDT","1","",""
"2022/09/26 5:49:18 PM MDT","","1",""
"2022/09/26 5:51:18 PM MDT","1","",""
"2022/09/26 5:56:14 PM MDT","1","",""
"2022/09/26 5:56:36 PM MDT","","1",""
"2022/09/26 5:56:36 PM MDT","","","1.50015"
"2022/09/26 6:00:55 PM MDT","1","",""
"2022/09/26 6:01:11 PM MDT","","1",""
"2022/09/26 6:01:11 PM MDT","","","12.6401"
"2022/09/26 6:02:12 PM MDT","1","",""
"2022/09/26 6:02:25 PM MDT","","","15.83272"
"2022/09/26 6:02:25 PM MDT","","1",""
"2022/09/26 6:02:35 PM MDT","1","",""
"2022/09/26 6:02:58 PM MDT","","1",""
"2022/09/26 6:02:58 PM MDT","","","6.202468"
"2022/09/26 6:03:02 PM MDT","1","",""
"2022/09/26 6:03:14 PM MDT","","","17.75037"
"2022/09/26 6:03:14 PM MDT","","1",""
"2022/09/26 6:03:29 PM MDT","1","",""
"2022/09/26 6:03:50 PM MDT","","1",""
"2022/09/26 6:03:50 PM MDT","","","3.481785"
"2022/09/26 6:03:52 PM MDT","1","",""
"2022/09/26 6:04:03 PM MDT","","1",""
"2022/09/26 6:04:03 PM MDT","","","18.22878"
"2022/09/26 6:04:20 PM MDT","1","",""
"2022/09/26 6:04:29 PM MDT","","1",""
"2022/09/26 6:04:29 PM MDT","","","25.35419"